Probe Set ID,Gene Symbol
b1501_at,ECs2106 /// ydeP
b1502_at,ydeQ
b1503_at,ECs2108 /// ydeR
b1504_at,ECs2109 /// ydeS
b1505_at,ydeT
b1506_at,yneL
b1509_at,ECs2116
b1513_at,lsrA
b1516_at,lsrB
b1518_at,ECs2125 /// lsrG
b1519_at,ECs2126 /// tam
b1520_at,yneE
b1522_at,ECs2129 /// yneF
b1523_at,ECs2130 /// yneG
b1525_at,ECs2132 /// sad
b1527_at,yneK
b1541_at,ECs2150 /// ydfZ
b1543_at,ECs2152 /// ydfJ
b1547_at,stfQ
b1550_at,gnsB
b1551_at,ynfN
b1553_at,rzpQ
b1554_at,rrrQ
b1555_at,ydfR
b1556_at,essQ
b1559_at,quuQ
b1560_at,ydfU
b1565_at,ydfV
b1567_at,intK
b1568_at,ydfX
b1579_at,intQ
b1582_at,ECs2288 /// ynfA
b1583_at,ECs2289 /// ynfB
b1586_at,ynfD
b1587_at,ynfE
b1588_at,ECs2294 /// ynfF
b1589_at,ECs2295 /// ynfG
b1590_at,ynfH
b1591_at,dmsD /// ECs2297
b1592_at,clcB /// ECs2298
b1593_at,bioD /// ynfK
b1598_at,ydgD
b1599_at,ECs2305 /// mdtI
b1600_at,mdtJ
b1601_at,tqsA
b1604_at,ECs2310 /// ydgH
b1605_at,ECs2311 /// ydgI
b1624_at,ECs2332 /// ydgJ
b1625_at,cnu /// ECs2334
b1626_at,ECs2335 /// ydgK
b1627_at,ECs2336 /// rsxA
b1628_at,ECs2337 /// rsxB
b1629_at,ECs2338 /// rsxC
b1631_at,ECs2340 /// rsxG
b1640_at,anmK
b1643_at,ECs2352 /// ydhI
b1644_at,ydhJ
b1645_at,ECs2354 /// ydhK
b1647_at,ydhF
b1648_at,ECs2358 /// ydhL
b1649_at,ECs2357 /// nemR
b1657_at,ECs2366 /// ydhP
b1664_at,ydhQ
b1667_at,ECs2374 /// ydhR
b1668_at,ECs2375 /// ydhS
b1669_at,ECs2376 /// ydhT
b1671_at,ECs2378 /// ydhX
b1672_at,ECs2379 /// ydhW
b1673_at,ECs2380 /// ydhV
b1674_at,ECs2381 /// ydhY
b1675_at,ECs2382 /// ydhZ
b1680_at,sufS
b1685_at,ECs2392 /// ydiH
b1686_at,ECs2393 /// menI
b1688_at,ECs2395 /// ydiK
b1689_at,ECs2396 /// ydiL
b1690_at,ECs2397 /// ydiM
b1691_at,ydiN
b1695_at,ECs2402 /// ydiO
b1696_at,ECs2403 /// ydiP
b1706_at,ECs2413 /// ydiU
b1707_at,ECs2414 /// ydiV
b1720_at,arpB /// ECs2427
b1721_at,arpB /// ECs2427
b1722_at,ECs2428 /// ydiY
b1724_at,ECs2430 /// ydiZ
b1725_at,ECs2431 /// yniA
b1726_at,ECs2432 /// yniB
b1728_at,ECs2434 /// ydjM
b1729_at,ECs2435 /// ydjN
b1730_at,ECs2436 /// ydjO
b1731_at,cedA /// ECs2437
b1741_at,cho /// ECs2447
b1742_at,ves
b1745_at,astB
b1746_at,astD
